ROOT Styles Loaded from rootlogon.
Beginning new ROOT session.


Processing ALLDrawDist.C...
18.55   18.65
1.1361   756238
18.754  9.81824e+06   1.08242e+07
18.7888  1.47176e+07   1.50728e+07
18.8003  1.54831e+07   1.54742e+07
18.8031  1.54974e+07   1.53949e+07
18.7611  1.90784e+07   2.07184e+07
18.7902  1.44111e+07   1.47127e+07
18.7662  1.40812e+07   1.51263e+07
18.7733  1.26436e+07   1.33807e+07
18.8295  8.78035e+06   8.24773e+06
18.8394  1.38978e+07   1.27826e+07
18.7781  1.04212e+07   1.09173e+07
18.8185  8.32517e+06   8.00529e+06
18.7827  1.50619e+07   1.56251e+07
18.8099  1.29325e+07   1.26625e+07
18.7797  9.49426e+06   9.91197e+06
18.7786  1.16488e+07   1.21889e+07
18.836  1.17183e+07   1.08566e+07
18.7718  1.90762e+07   2.02534e+07
18.7773  1.32731e+07   1.39288e+07
18.8424  1.69736e+07   1.55149e+07
18.793  1.51013e+07   1.53265e+07
18.8484  1.45547e+07   1.31342e+07
18.7758  1.48881e+07   1.56737e+07
18.8157  1.31016e+07   1.26738e+07
18.7846  1.12582e+07   1.16313e+07
18.7894  1.6014e+07   1.6378e+07
18.7575  1.06595e+07   1.16643e+07
18.7666  1.49562e+07   1.60553e+07
18.7773  1.456e+07   1.52769e+07
18.7512  2.35609e+06   2.61272e+06
18.7647  1.17902e+07   1.27075e+07
18.7993  1.64527e+07   1.64785e+07
18.7658  1.4147e+07   1.52102e+07
18.7765  1.38266e+07   1.45337e+07
18.8305  2.05605e+07   1.92738e+07
18.7938  1.60157e+07   1.62289e+07
18.7603  1.32282e+07   1.43894e+07
18.8196  1.93684e+07   1.85796e+07
18.7827  1.55866e+07   1.61694e+07
18.8184  1.62697e+07   1.56464e+07
18.8243  1.93189e+07   1.83474e+07
18.7671  6.42639e+06   6.89023e+06
18.8189  1.18662e+07   1.13993e+07
18.7812  1.16563e+07   1.21314e+07
18.8141  8.26353e+06   8.02045e+06
18.7767  1.40569e+07   1.47702e+07
18.7996  1.36887e+07   1.37003e+07
18.8493  2.23359e+07   2.01183e+07
18.8284  2.33264e+07   2.19651e+07
18.7651  1.43831e+07   1.54871e+07
18.7812  1.80697e+07   1.88048e+07
18.8168  2.3034e+07   2.22273e+07
18.7626  1.10444e+07   1.19558e+07
18.7949  1.70509e+07   1.72357e+07
18.8075  1.27279e+07   1.25284e+07
18.8403  1.52881e+07   1.40347e+07
18.7554  1.38344e+07   1.52065e+07
18.8485  1.72581e+06   1.5572e+06
18.7529  1.14728e+07   1.26782e+07
18.8041  1.66436e+07   1.64993e+07
18.8014  1.08491e+07   1.08181e+07
18.8014  8.25153e+06   8.22794e+06
18.8212  1.16531e+07   1.11414e+07
18.8411  2.04722e+07   1.87625e+07
18.7658  1.81921e+07   1.95589e+07
18.8208  2.26813e+07   2.17025e+07
18.7607  1.36801e+07   1.48703e+07
18.7948  1.56394e+07   1.58141e+07
18.814  1.08511e+07   1.05333e+07
18.824  2.09319e+07   1.98933e+07
18.835  1.7694e+07   1.64298e+07
18.7548  1.21831e+07   1.34094e+07
18.7675  6.48564e+06   6.94889e+06
18.7511  6.65112e+06   7.3782e+06

18.8  97
1.35981e+07  1.37027e+07
4.33857e+06  4.14925e+06
18.85   18.95
1.09413   1.93084e+06
18.8979  1.18344e+07   1.18881e+07
